OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed
15812,701,CBM6,small_airport,Midway Airport,49.0099983215332,-118.790000915527,1896,NA,CA,CA-BC,Midway,no,CBM6,,CBM6,,https://en.wikipedia.org/wiki/Midway_Airport_(British_Columbia),BM6,,,3500,125,TURF,0,0
15813,703,CBN9,small_airport,Tsay Keh Airport,56.906101,-124.964996,2280,NA,CA,CA-BC,Tsay Keh,no,CBN9,,CBN9,,https://en.wikipedia.org/wiki/Tsay_Keh_Airport,,,,4500,50,GRAVEL,0,0
15815,508939,CBR3,small_airport,Brigden Field,49.617285,-102.770083,2017,NA,CA,CA-SK,Kisbey,no,CBR3,,CBR3,,,,,,4500,50,GVL,0,0
15821,729,CBW2,small_airport,Kitimat Airport,54.167758,-128.578663,250,NA,CA,CA-BC,Kitimat,no,CBW2,,CBW2,,https://en.wikipedia.org/wiki/Kitimat_Airport,BW2,,,3000,75,GRAVEL,0,0
15822,730,CBW3,small_airport,Fort Grahame Airport,56.5213877877,-124.470291138,2230,NA,CA,CA-BC,Fort Graham,no,CBW3,,CBW3,,https://en.wikipedia.org/wiki/Fort_Graham_Airport,BW3,,,5000,40,GRAVEL,0,0
15823,731,CBW4,small_airport,Bob Quinn Lake Airport,56.966702,-130.25,2000,NA,CA,CA-BC,Bob Quinn Lake,no,CBW4,YBO,CBW4,,https://en.wikipedia.org/wiki/Bob_Quinn_Lake_Airport,,,,4200,150,GRAVEL,0,0
15824,509404,CCA5,small_airport,Stenen/Clayton Air 3 Airport,51.8245,-102.376333,1710,NA,CA,CA-SK,,no,CCA5,,CCA5,,,,,,3500,35,GVL,0,0
15829,749,CCD3,small_airport,Woodstock Airport,46.152079,-67.545098,481,NA,CA,CA-NB,Newbridge,no,CCD3,,CCD3,,https://en.wikipedia.org/wiki/Woodstock_Airport_(New_Brunswick),CD3,,,3000,75,TURF/CHIPSEAL,0,0
15837,762,CCJ3,small_airport,Boston Brook Airport,47.4486,-67.62463,958,NA,CA,CA-NB,Drummond,no,CCJ3,,CCJ3,,https://en.wikipedia.org/wiki/Boston_Brook_Airport,CJ3,,,4000,60,TREATED GRAVEL,0,0
15838,763,CCK3,small_airport,Grand Falls Airport,47.075837,-67.68531,712,NA,CA,CA-NB,Grand Falls,no,CCK3,,CCK3,,https://en.wikipedia.org/wiki/Grand_Falls_Airport,CK3,,,3000,75,TURF/GRAVEL/AS,0,0
15841,511292,CCL9,small_airport,Outlook (South) Airport,51.439235,-107.001995,1767,NA,CA,CA-SK,Outlok,no,CCL9,,CCL9,,,,,,3400,75,Grass/Gravel,0,0
15842,766,CCM3,small_airport,Sevogle Airport,47.190179,-66.158123,1350,NA,CA,CA-NB,Sevogle,no,CCM3,,CCM3,,https://en.wikipedia.org/wiki/Sevogle_Airport,CM3,,,3100,60,TREATED GRAVEL,0,0
15848,789,CCX3,small_airport,Brockway Airport,45.5666999816895,-67.0999984741211,300,NA,CA,CA-NB,Brockway,no,CCX3,,CCX3,,https://en.wikipedia.org/wiki/Brockway_Airport,CX3,,,4000,75,TREATED GRAVEL,0,0
15849,790,CCY3,small_airport,Sussex Airport,45.689998626709,-65.5400009155273,467,NA,CA,CA-NB,Sussex,no,CCY3,,CCY3,,,CY3,,,3000,60,TREATED GRAVEL,0,0
15855,16632,CD01,small_airport,Lowe Airstrip,38.3983001708984,-105.620002746582,6200,NA,US,US-CO,Cotopaxi,no,CD01,,CD01,,,,,,3000,85,TURF,0,0
15857,16634,CD03,small_airport,Tinnes Airport,38.198226,-102.5669,3850,NA,US,US-CO,Lamar,no,CD03,,CD03,,,,,,4500,30,DIRT,0,0
15863,16641,CD10,small_airport,Chapman Field,37.6749992370605,-106.555999755859,8100,NA,US,US-CO,South Fork,no,CD10,,CD10,,,,,,3000,80,TURF,0,0
15868,16646,CD15,small_airport,Schantz Airstrip,39.295794,-104.12178,5870,NA,US,US-CO,Simla,no,CD15,,CD15,,,,,,4100,60,TURF,0,0
15885,16663,CD32,small_airport,Castle Lakes Airport,37.9091987609863,-107.349998474121,9300,NA,US,US-CO,Lake City,no,CD32,,CD32,,,,,,3200,50,GRVL,0,0
15901,16679,CD48,small_airport,Cuchara Ranch Airport,37.7863998413086,-104.59400177002,5827,NA,US,US-CO,Walsenburg,no,CD48,,CD48,,,,,,3500,80,TURF-F,0,0
15916,16693,CD69,small_airport,Morning Shadows Ranch Airport,37.7402992248535,-106.526000976563,8300,NA,US,US-CO,South Fork,no,CD69,,CD69,,,,,,4400,80,TURF,0,0
15927,16703,CD82,small_airport,Val Air Airport,37.3377990722656,-107.851997375488,6548,NA,US,US-CO,Durango,no,CD82,,CD82,,,,,,3515,150,TURF,0,0
15931,806,CDC4,small_airport,Saint-Quentin Airport,47.521099,-67.421097,875,NA,CA,CA-NB,Saint-Quentin,no,CDC4,,CDC4,,https://en.wikipedia.org/wiki/St-Quentin_Airport,DC4,,,3000,100,GRAVEL/TURF,0,0
15938,43879,CDL7,small_airport,Doris Lake,68.1252746582,-106.585281372,50,NA,CA,CA-NU,Hope Bay,no,,JOJ,CDL7,,https://en.wikipedia.org/wiki/Doris_Lake_Aerodrome,,,,7894,246,ICE,1,0
15942,835,CEC3,small_airport,Fox Lake Airport,58.47364,-114.54932,850,NA,CA,CA-AB,Fox Lake,no,CEC3,,CEC3,,https://en.wikipedia.org/wiki/Fox_Lake_Airport,EC3,,,3500,100,SAND/GRAVEL,0,0
15946,843,CEE4,small_airport,Hinton / Entrance Airport,53.381401062,-117.700996399,3450,NA,CA,CA-AB,Hinton,no,CEE4,,CEE4,,https://en.wikipedia.org/wiki/Hinton/Entrance_Airport,EE4,,,3700,150,TURF,0,0
15951,853,CEG5,small_airport,Chipewyan Lake Airport,56.951336,-113.498259,1800,NA,CA,CA-AB,Chipewyan Lake,no,CEG5,,CEG5,,https://en.wikipedia.org/wiki/Chipewyan_Lake_Airport,EG5,,,3000,100,TURF,0,0
15952,854,CEG8,small_airport,North Seal River Airport,58.969398,-99.974998,980,NA,CA,CA-MB,North Seal River,no,CEG8,,CEG8,,https://en.wikipedia.org/wiki/North_Seal_River_Airport,,,,4737,,UNK,0,0
15957,885,CEP5,small_airport,Janvier Airport,55.9000015258789,-110.733001708984,1575,NA,CA,CA-AB,Janvier,no,CEP5,,CEP5,,https://en.wikipedia.org/wiki/Janvier_Airport,EP5,,,4500,100,GRAVEL,0,0
15960,898,CET2,small_airport,Conklin (Leismer) Airport,55.695301,-111.278999,1930,NA,CA,CA-AB,Conklin,no,CET2,CFM,CET2,,https://en.wikipedia.org/wiki/Conklin_(Leismer)_Airport,ET2,,,5000,100,CLAY,0,0
15961,905,CEV2,small_airport,Edra Airport,57.8499984741211,-113.25,2625,NA,CA,CA-AB,Edra,no,CEV2,,CEV2,,https://en.wikipedia.org/wiki/Edra_Airport,EV2,,,3200,100,TURF,0,0
15965,917,CEX9,small_airport,Brant (Dixon Farm) Airport,50.4193992614746,-113.541000366211,3342,NA,CA,CA-AB,Brant,no,CEX9,,CEX9,,https://en.wikipedia.org/wiki/Brant_(Dixon_Farm)_Airport,EX9,,,4000,75,TURF,0,0
15969,929,CFB4,small_airport,Trout Lake Airport,56.5,-114.550003051758,2290,NA,CA,CA-AB,Trout Lake,no,CFB4,,CFB4,,https://en.wikipedia.org/wiki/Trout_Lake_Airport_(Alberta),FB4,,,3000,75,TURF,0,0
15971,932,CFB7,small_airport,Steen River Airport,59.633301,-117.167,996,NA,CA,CA-AB,Steen River,no,CFB7,,CFB7,,https://en.wikipedia.org/wiki/Steen_River_Airport,FB7,,,5000,100,TURF,0,0
15979,949,CFG5,small_airport,John D'Or Prairie Airport,58.4914016723633,-115.138000488281,950,NA,CA,CA-AB,John D'Or Prairie,no,CFG5,,CFG5,,https://en.wikipedia.org/wiki/John_D'or_Prairie_Airport,FG5,,,3360,90,TURF,0,0
15986,959,CFK6,small_airport,Olds (Netook) Airport,51.8499984741211,-114.067001342773,3330,NA,CA,CA-AB,Olds,no,CFK6,,CFK6,,https://en.wikipedia.org/wiki/Olds_(Netook)_Airport,FK6,,,3700,200,TURF,0,0
15991,967,CFM7,small_airport,Boyle Airport,54.573299407959,-112.819999694824,2154,NA,CA,CA-AB,Boyle,no,CFM7,,CFM7,,https://en.wikipedia.org/wiki/Boyle_Airport,FM7,,,3000,75,TURF,0,0
15994,985,CFQ7,small_airport,Edmonton / Gartner Airport,53.2817001343,-113.455001831,2390,NA,CA,CA-AB,Edmonton,no,CFQ7,,CFQ7,,https://en.wikipedia.org/wiki/Edmonton/Gartner_Airport,FQ7,,,3000,50,TURF,0,0
15999,993,CFS8,small_airport,Clearwater River Airport,51.988098,-115.227997,4100,NA,CA,CA-AB,Caroline,no,CFS8,,CFS8,,https://en.wikipedia.org/wiki/Clearwater_River_Airport,FS8,,,3300,75,TURF,0,0
16001,997,CFT5,small_airport,Hyland Airport,61.5238990783691,-128.268997192383,3000,NA,CA,CA-YT,Hyland,no,CFT5,,CFT5,,https://en.wikipedia.org/wiki/Hyland_Airport,FT5,,,3760,,UNK,0,0
16003,1001,CFU4,small_airport,Garden River Airport,58.7139015197754,-113.875999450684,790,NA,CA,CA-AB,Garden River,no,CFU4,,CFU4,,https://en.wikipedia.org/wiki/Garden_River_Airport,FU4,,,3000,75,TURF,0,0
16004,1002,CFU8,small_airport,Irma Airport,52.9122009277344,-111.174003601074,2230,NA,CA,CA-AB,Irma,no,CFU8,,CFU8,,https://en.wikipedia.org/wiki/Irma_Airport,FU8,,,3100,65,OILED GRAVEL/T,0,0
16006,1005,CFV3,small_airport,Mobil Bistcho Airport,59.4747326918,-119.006137848,2000,NA,CA,CA-AB,Mobil Bistcho,no,CFV3,,CFV3,,https://en.wikipedia.org/wiki/Mobil_Bistcho_Airport,FV3,,,3600,75,TURF,0,0
16007,1006,CFV6,small_airport,Margaret Lake Airport,58.9458023034,-115.256538391,2750,NA,CA,CA-AB,Margaret Lake,no,CFV6,,CFV6,,https://en.wikipedia.org/wiki/Margaret_Lake_Airport,FV6,,,4000,100,TURF/SOIL,0,0
16011,1015,CFX3,small_airport,Doig Airport,56.9500007629395,-119.516998291016,3500,NA,CA,CA-AB,Doig,no,CFX3,,CFX3,,https://en.wikipedia.org/wiki/Doig_Airport,FX3,,,3000,50,TURF,0,0
16013,1019,CFY2,small_airport,Grist Lake Airport,55.4000015258789,-110.483001708984,2000,NA,CA,CA-AB,Grist Lake,no,CFY2,,CFY2,,https://en.wikipedia.org/wiki/Grist_Lake_Airport,FY2,,,3000,75,SAND,0,0
16014,1022,CFY6,small_airport,Turner Valley Bar N Ranch Airport,50.6543998718262,-114.34400177002,4210,NA,CA,CA-AB,Turner Valley Bar N Ranch,no,CFY6,,CFY6,,https://en.wikipedia.org/wiki/Turner_Valley_Bar_N_Ranch_Airport,FY6,,,3825,75,OILED GRAVEL,0,0
16020,308297,CGR3,small_airport,George Lake Aerodrome,65.928056,-107.462222,1150,NA,CA,CA-NU,,no,CGR3,,CGR3,,https://en.wikipedia.org/wiki/George_Lake_Aerodrome,,,,5240,150,ICE,0,0
16024,308295,CHC5,small_airport,Hayes Camp Aerodrome,66.655556,-91.545,780,NA,CA,CA-NU,,no,CHC5,,CHC5,,https://en.wikipedia.org/wiki/Hayes_Camp_Aerodrome,,,,5354,200,ICE,1,0
16026,320651,CHL2,small_airport,Hillaton/Kings Aerodrome,45.1442,-64.4229,89,NA,CA,CA-NS,Hillaton,no,CHL2,,CHL2,,https://en.wikipedia.org/wiki/Hillaton/Kings_Aerodrome,,,,3070,75,GRASS,0,0
16027,16713,CHP,small_airport,Circle Hot Springs Airport,65.485496521,-144.610992432,956,NA,US,US-AK,Circle Hot Springs,no,CHP,CHP,CHP,,https://en.wikipedia.org/wiki/Circle_Hot_Springs_Airport,,,,3650,80,GRVL-F,1,0
16028,1046,CJA5,small_airport,Nestor Falls Airport,49.1403007507324,-93.9169006347656,1195,NA,CA,CA-ON,Nestor Falls,no,CJA5,,CJA5,,https://en.wikipedia.org/wiki/Nestor_Falls_Airport,JA5,,,3665,75,GRVL,0,0
16033,1054,CJC3,small_airport,Davidson Municipal Airport,51.2477989196777,-105.975997924805,2025,NA,CA,CA-SK,Davidson,no,CJC3,,CJC3,,https://en.wikipedia.org/wiki/Davidson_Municipal_Airport,JC3,,,3400,65,TURF,0,0
16035,1057,CJC6,small_airport,Hafford Airport,52.7322006225586,-107.374000549316,1935,NA,CA,CA-SK,Hafford,no,CJC6,,CJC6,,https://en.wikipedia.org/wiki/Hafford_Airport,JC6,,,3650,120,TURF,0,0
16038,1063,CJE2,small_airport,Dore Lake Airport,54.61669921875,-107.383003234863,1565,NA,CA,CA-SK,Dore Lake,no,CJE2,,CJE2,,https://en.wikipedia.org/wiki/Dore_Lake_Airport,JE2,,,3000,100,TURF,0,0
16039,1065,CJE4,small_airport,Snow Lake Airport,54.8972015380859,-99.8189010620117,993,NA,CA,CA-MB,Snow Lake,no,CJE4,,CJE4,,https://en.wikipedia.org/wiki/Snow_Lake_Airport,JE4,,,3510,75,GRAVEL,0,0
16054,1083,CJK2,small_airport,Gunisao Lake Airport,53.5200004577637,-96.3711013793945,886,NA,CA,CA-MB,Gunisao Lake,no,CJK2,,CJK2,,https://en.wikipedia.org/wiki/Gunisao_Lake_Airport,JK2,,,3600,60,SAND/GRAVEL,0,0
16055,1084,CJK3,small_airport,Beauval Airport,55.1102981567383,-107.716003417969,1436,NA,CA,CA-SK,Beauval,no,CJK3,,CJK3,,https://en.wikipedia.org/wiki/Beauval_Airport,JK3,,,3150,75,GRAVEL,0,0
16058,1088,CJL2,small_airport,Hatchet Lake Airport,58.662498474121,-103.53800201416,1362,NA,CA,CA-SK,Hatchet Lake,no,CJL2,YDJ,CJL2,,https://en.wikipedia.org/wiki/Hatchet_Lake_Airport,JL2,,,6000,100,SAND/CLAY/GRAV,0,0
16059,1089,CJL4,small_airport,La Loche Airport,56.4733009338379,-109.403999328613,1501,NA,CA,CA-SK,La Loche,no,CJL4,,CJL4,,https://en.wikipedia.org/wiki/La_Loche_Airport,JL4,,,3000,75,TREATED GRAVEL,0,0
16060,1090,CJL5,small_airport,Winnipeg / Lyncrest Airport,49.852501,-96.973602,775,NA,CA,CA-MB,Winnipeg,no,CJL5,,CJL5,,https://en.wikipedia.org/wiki/Winnipeg/Lyncrest_Airport,JL5,,,3000,180,TURF,0,0
16061,1092,CJL8,small_airport,Kasba Lake Airport,60.291900634766,-102.50199890137,1131,NA,CA,CA-NT,Kasba Lake,no,CJL8,YDU,CJL8,,https://en.wikipedia.org/wiki/Kasba_Lake_Airport,JL8,,,6150,,UNK,0,0
16071,1105,CJP7,small_airport,Bird River (Lac Du Bonnet) Airport,50.3967018127441,-95.7350006103516,950,NA,CA,CA-MB,Bird River,no,CJP7,,CJP7,,https://en.wikipedia.org/wiki/Bird_River_(Lac_du_Bonnet)_Airport,JP7,,,4250,100,TURF/GRAVEL,0,0
16072,1106,CJP9,small_airport,Charlot River Airport,59.6016998291016,-109.137001037598,700,NA,CA,CA-SK,Charlot River,no,CJP9,,CJP9,,https://en.wikipedia.org/wiki/Charlot_River_Airport,JP9,,,3320,88,CLAY/GRAVEL,0,0
16073,1107,CJQ2,small_airport,Lampman Airport,49.36669921875,-102.766998291016,1950,NA,CA,CA-SK,Lampman,no,CJQ2,,CJQ2,,https://en.wikipedia.org/wiki/Lampman_Airport,JQ2,,,3000,65,TURF/ASPHALT,0,0
16075,331223,CJQ8,small_airport,Maryfield Aerodrome,49.846387,-101.514167,1885,NA,CA,CA-SK,Maryfield,no,CJQ8,,CJQ8,,https://en.wikipedia.org/wiki/Maryfield_Aerodrome,,,,3522,,GVL,0,0
16076,1112,CJQ9,small_airport,Big Sand Lake Airport,57.6194000244141,-99.8752975463867,1050,NA,CA,CA-MB,Big Sand Lake,no,CJQ9,,CJQ9,,https://en.wikipedia.org/wiki/Big_Sand_Lake_Airport,JQ9,,,3450,80,CLAY/SAND,0,0
16077,1114,CJR3,small_airport,The Pas / Grace Lake Airport,53.8264007568,-101.205001831,873,NA,CA,CA-MB,The Pas,no,CJR3,,CJR3,,https://en.wikipedia.org/wiki/The_Pas/Grace_Lake_Airport,JR3,,,3270,50,GRAVEL,1,0
16079,1117,CJR7,small_airport,Canora Airport,51.6288986206055,-102.449996948242,1603,NA,CA,CA-SK,Canora,no,CJR7,,CJR7,,https://en.wikipedia.org/wiki/Canora_Airport,JR7,,,3400,150,TURF,0,0
16081,1119,CJR9,small_airport,Naicam Airport,52.4113998413086,-104.484001159668,1780,NA,CA,CA-SK,Naicam,no,CJR9,,CJR9,,https://en.wikipedia.org/wiki/Naicam_Airport,JR9,,,3050,65,TURF,0,0
16082,1120,CJS2,small_airport,Malcolm Island Airport,56.9494018554688,-102.238998413086,1120,NA,CA,CA-SK,Malcolm Island,no,CJS2,,CJS2,,https://en.wikipedia.org/wiki/Malcolm_Island_Airport,JS2,,,4625,50,GRAVEL/CLAY/SA,0,0
16083,1121,CJS3,small_airport,Cluff Lake Airport,58.3911018372,-109.51599884,1112,NA,CA,CA-SK,Cluff Lake,no,CJS3,XCL,CJS3,,https://en.wikipedia.org/wiki/Cluff_Lake_Airport,JS3,,,5280,120,GRAVEL,0,0
16085,1123,CJS5,small_airport,Killarney Municipal Airport,49.1516990661621,-99.690299987793,1680,NA,CA,CA-MB,Killarney,no,CJS5,,CJS5,,https://en.wikipedia.org/wiki/Killarney_Municipal_Airport,JS5,,,3200,75,PACKED GRAVEL,0,0
16088,1126,CJT3,small_airport,Knee Lake Airport,54.915298,-94.798103,625,NA,CA,CA-MB,Knee Lake,no,CJT3,YKE,CJT3,,https://en.wikipedia.org/wiki/Knee_Lake_Airport,JT3,,,3950,110,CRUSHED ROCK,0,0
16091,1129,CJT8,small_airport,Homewood Airport,49.5092010498047,-97.8506011962891,815,NA,CA,CA-MB,Homewood,no,CJT8,,CJT8,,https://en.wikipedia.org/wiki/Homewood_Airport,JT8,,,3000,70,TURF,0,0
16099,1139,CJV7,small_airport,Summer Beaver Airport,52.7085990905762,-88.5419006347656,832,NA,CA,CA-ON,Summer Beaver,yes,CJV7,SUR,CJV7,,https://en.wikipedia.org/wiki/Summer_Beaver_Airport,JV7,,,3500,100,GRVL,0,0
16100,1140,CJV8,small_airport,Grand Rapids Airport,53.1725006103516,-99.3230972290039,860,NA,CA,CA-MB,Grand Rapids,no,CJV8,,CJV8,,https://en.wikipedia.org/wiki/Grand_Rapids_Airport,JV8,,,3119,75,GRAVEL,0,0
16105,1146,CJW7,small_airport,Cigar Lake Airport,58.0531005859375,-104.484001159668,1562,NA,CA,CA-SK,Cigar Lake,no,CJW7,,CJW7,,https://en.wikipedia.org/wiki/Cigar_Lake_Airport,JW7,,,5100,100,GRAVEL/SAND,0,0
16109,1152,CJY4,small_airport,Sandy Bay Airport,55.5456008911133,-102.272003173828,1001,NA,CA,CA-SK,Sandy Bay,no,CJY4,,CJY4,,https://en.wikipedia.org/wiki/Sandy_Bay_Airport,JY4,,,3000,75,TREATED GRAVEL,0,0
16115,1159,CKA8,small_airport,St. François Xavier Airport,49.9244003295898,-97.5488967895508,798,NA,CA,CA-MB,St. François Xavier,no,CKA8,,CKA8,,https://en.wikipedia.org/wiki/St._Fran%C3%A7ois_Xavier_Airport,KA8,,,3000,90,TURF/EARTH/GRA,0,0
16117,1161,CKB2,small_airport,Patuanak Airport,55.9000015258789,-107.721000671387,1426,NA,CA,CA-SK,Patuanak,no,CKB2,,CKB2,,https://en.wikipedia.org/wiki/Patuanak_Airport,KB2,,,3000,75,GRAVEL,0,0
16118,1162,CKB6,small_airport,Wapekeka Airport,53.8492012023926,-89.5793991088867,712,NA,CA,CA-ON,Angling Lake,yes,CKB6,YAX,CKB6,,https://en.wikipedia.org/wiki/Angling_Lake/Wapekeka_Airport,KB6,,,3600,100,GRVL,0,0
16120,1165,CKC6,small_airport,Lanigan Airport,51.8452987670898,-104.991996765137,1750,NA,CA,CA-SK,Lanigan,no,CKC6,,CKC6,,https://en.wikipedia.org/wiki/Lanigan_Airport,KC6,,,4400,90,TURF,0,0
16125,1171,CKD7,small_airport,Roland (Graham Field) Airport,49.4082984924316,-97.9906005859375,865,NA,CA,CA-MB,Roland,no,CKD7,,CKD7,,https://en.wikipedia.org/wiki/Roland_(Graham_Field)_Airport,KD7,,,3500,70,TURF,0,0
16126,1172,CKD9,small_airport,Slate Falls Airport,51.1300010681152,-91.6656036376953,1355,NA,CA,CA-ON,Slate Falls,no,CKD9,,CKD9,,https://en.wikipedia.org/wiki/Slate_Falls_Airport,KD9,,,3500,100,GRVL,0,0
16131,1181,CKF9,small_airport,De Lesseps Lake Airport,50.7174987792969,-90.6836013793945,1312,NA,CA,CA-ON,De Lesseps Lake,no,CKF9,,CKF9,,https://en.wikipedia.org/wiki/De_Lesseps_Lake_Airport,KF9,,,3020,70,CONC/GRVL,0,0
16132,1182,CKG2,small_airport,Riverton Airport,50.971805,-96.998889,725,NA,CA,CA-MB,Riverton,no,CKG2,,CKG2,,https://en.wikipedia.org/wiki/Riverton_Airport,KG2,,,3000,100,TURF/GRAVEL/SN,0,0
16134,1186,CKH3,small_airport,Debden Airport,53.5318984985352,-106.884002685547,1700,NA,CA,CA-SK,Debden,no,CKH3,,CKH3,,https://en.wikipedia.org/wiki/Debden_Airport,KH3,,,3000,100,TURF,0,0
16136,1188,CKH8,small_airport,Lumsden (Colhoun) Airport,50.6674995422363,-104.789001464844,1900,NA,CA,CA-SK,Lumsden,no,CKH8,,CKH8,,https://en.wikipedia.org/wiki/Lumsden_(Colhoun)_Airport,KH8,,,3700,30,TURF,0,0
16140,1192,CKJ8,small_airport,Molson Lake Airport,54.2580986022949,-97.011100769043,750,NA,CA,CA-MB,Molson Lake,no,CKJ8,,CKJ8,,https://en.wikipedia.org/wiki/Molson_Lake_Airport,KJ8,,,4360,90,GRAVEL,0,0
16142,1194,CKK2,small_airport,St. Brieux Airport,52.6500015258789,-104.866996765137,1780,NA,CA,CA-SK,St. Brieux,no,CKK2,,CKK2,,https://en.wikipedia.org/wiki/St._Brieux_Airport,KK2,,,3500,75,TREATED SAND,0,0
16145,1198,CKK7,small_airport,Steinbach (South) Airport,49.4939002990723,-96.6988983154297,888,NA,CA,CA-MB,Steinbach,no,CKK7,,CKK7,,https://en.wikipedia.org/wiki/Steinbach_(South)_Airport,KK7,,,3100,100,TURF/ASPHALT,0,0
16146,1199,CKL2,small_airport,Selkirk Airport,50.172308,-96.870346,747,NA,CA,CA-MB,Selkirk,no,CKL2,,CKL2,,https://en.wikipedia.org/wiki/Selkirk_Airport,KL2,,,3000,90,GRAVEL,0,0
16147,1200,CKL3,small_airport,Wunnumin Lake Airport,52.8939018249512,-89.2891998291016,819,NA,CA,CA-ON,Wunnumin Lake,yes,CKL3,WNN,CKL3,,https://en.wikipedia.org/wiki/Wunnummin_Lake_Airport,KL3,,,3500,100,GRVL,0,0
16150,1206,CKM2,small_airport,Sioux Narrows Airport,49.3899993896484,-93.9953002929688,1100,NA,CA,CA-ON,Sioux Narrows,no,CKM2,,CKM2,,https://en.wikipedia.org/wiki/Sioux_Narrows_Airport,KM2,,,3300,115,TURF,0,0
16151,1208,CKM4,small_airport,Jan Lake Airport,54.8307991027832,-102.789001464844,1135,NA,CA,CA-SK,Jan Lake,no,CKM4,,CKM4,,https://en.wikipedia.org/wiki/Jan_Lake_Airport,KM4,,,3150,50,GRAVEL/SAND,0,0
16153,1211,CKM8,small_airport,Opapimiskan Lake Airport,52.6067008972,-90.3768997192,1023,NA,CA,CA-ON,Opapimiskan Lake,no,CKM8,YBS,CKM8,,https://en.wikipedia.org/wiki/Opapimiskan_Lake_Airport,"KM8, Musselwhite Airport",,,4850,100,GRVL,0,0
16156,1216,CKP2,small_airport,Spring Valley (North) Airport,50.060001373291,-105.402000427246,2200,NA,CA,CA-SK,Spring Valley,no,CKP2,,CKP2,,https://en.wikipedia.org/wiki/Spring_Valley_(North)_Airport,KP2,,,3000,50,TURF/GRAVEL,0,0
16157,1217,CKQ2,small_airport,Squaw Rapids Airport,53.6786003112793,-103.349998474121,1040,NA,CA,CA-SK,Squaw Rapids,no,CKQ2,,CKQ2,,https://en.wikipedia.org/wiki/Squaw_Rapids_Airport,KQ2,,,3000,200,TURF,0,0
16158,1218,CKQ3,small_airport,North Spirit Lake Airport,52.4900016784668,-92.9710998535156,1082,NA,CA,CA-ON,North Spirit Lake,yes,CKQ3,YNO,CKQ3,,https://en.wikipedia.org/wiki/North_Spirit_Lake_Airport,KQ3,,,3500,100,GRVL,0,0
16160,1222,CKQ8,small_airport,McArthur River Airport,57.7675018310547,-105.024002075195,1718,NA,CA,CA-SK,Mcarthur River,no,CKQ8,,CKQ8,,https://en.wikipedia.org/wiki/McArthur_River_Airport,KQ8,,,5280,100,GRAVEL/SAND/CL,0,0
16161,1223,CKQ9,small_airport,Pine Dock Airport,51.6199989318848,-96.8107986450195,750,NA,CA,CA-MB,Pine Dock,no,CKQ9,,CKQ9,,https://en.wikipedia.org/wiki/Pine_Dock_Airport,KQ9,,,3950,100,OILED GRAVEL,0,0
16170,1232,CKS8,small_airport,Cree Lake (Crystal Lodge) Airport,57.464199,-106.748001,1615,NA,CA,CA-SK,Cree Lake,no,CKS8,,CKS8,http://www.creelake.com/map-and-flight.html,https://en.wikipedia.org/wiki/Cree_Lake_(Crystal_Lodge)_Airport,"KS8, YFN",,,3185,40,CLAY,0,0
16176,1238,CKU4,small_airport,Cut Knife Airport,52.7401,-109.014415,2100,NA,CA,CA-SK,Cut Knife,no,CKU4,,CKU4,,https://en.wikipedia.org/wiki/Cut_Knife_Airport,KU4,,,4000,150,TURF,0,0
16189,1255,CKX8,small_airport,Big River Airport,53.8361015319824,-107.009002685547,1592,NA,CA,CA-SK,Big River,no,CKX8,,CKX8,,https://en.wikipedia.org/wiki/Big_River_Airport,KX8,,,3300,65,TREATED GRAVEL,0,0
16193,1260,CKZ3,small_airport,Elk Island Airport,54.6713981628418,-94.1453018188477,625,NA,CA,CA-MB,Elk Island,no,CKZ3,,CKZ3,,https://en.wikipedia.org/wiki/Elk_Island_Airport,KZ3,,,3800,70,CLAY,0,0
16230,16748,CL29,small_airport,Camino Airstrip,34.8349990844727,-114.957000732422,2079,NA,US,US-CA,Goffs,no,CL29,,CL29,,,,,,3000,30,DIRT,0,0
16302,45050,CMN4,small_airport,Minto,62.6047222222,-137.221944444,2969,NA,CA,CA-YT,,no,CMN4,,,,,,,,4495,100,Gravel,0,0
16365,16844,CN37,small_airport,Kelso Valley Airport,35.38130188,-118.2310028,4047,NA,US,US-CA,Mojave,no,CN37,,CN37,,,,,,3988,100,DIRT,1,0
16369,16847,CN42,small_airport,Double Creek Ranch Airport,40.445702,-121.882004,2030,NA,US,US-CA,Manton,no,CN42,,CN42,,,,,,3400,80,TURF-DIRT,0,0
16384,1299,CNE3,small_airport,Bearskin Lake Airport,53.9655990600586,-91.0271987915039,800,NA,CA,CA-ON,Bearskin Lake,yes,CNE3,XBE,CNE3,,https://en.wikipedia.org/wiki/Bearskin_Lake_Airport,NE3,,,3500,100,GRVL,0,0
16385,1305,CNF9,small_airport,Niagara South Airport,42.9994010925293,-79.0635986328125,576,NA,CA,CA-ON,Niagara Falls,no,CNF9,,CNF9,,https://en.wikipedia.org/wiki/Niagara_Falls/Niagara_South_Airport,NF9,,,4400,60,GRVL,0,0
